client;44713;44743;44774;44805;44835;44866;44896;44927;44958;44986;45017;45047;45078;45108;45139;45170
client_7714;0;0;-240;-240;0;0;0;0;0;0;0;0;0;0;0;0
client_18769;0;0;0;9219;12182;5011;6565;1709;113181;93038;85115;84130;77920;78023;74640;68606
client_20709;0;0;0;938;675;21495;2501;0;0;0;0;0;0;0;0;0
client_14332;0;0;0;-352;0;299;386;416;-129;-212;-398;-398;-399;109;1107;-228
client_25099;0;0;0;0;0;-703;0;0;0;0;0;0;0;0;0;0
client_1972;0;0;0;0;0;0;0;0;471;-89;292;277;504;2491;1092;1213
client_12866;0;0;0;0;0;0;0;0;0;0;-703;-423;-422;-421;-421;-422
client_19225;0;0;0;0;0;0;0;0;0;-352;0;0;0;0;0;0
client_7715;0;0;0;0;0;0;0;0;0;0;-202;4197;1850;12597;1719;4477
client_14818;0;0;0;0;0;0;0;0;0;0;-352;0;209;-391;-390;11191
client_10013;0;0;0;0;0;0;0;0;0;0;-2479;-393;-394;-393;-392;-393
client_45445;0;0;0;0;0;0;0;0;0;0;0;-352;-423;0;0;0
client_17273;0;0;0;0;0;0;0;0;0;0;0;0;0;-618;-78;646
client_39743;0;0;0;0;0;0;0;0;0;0;0;0;1424;86;1975;1605
client_37392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;431
client_47462;0;0;0;0;0;0;0;0;0;0;0;0;-352;0;0;0
client_27221;0;0;0;961;4813;8543;8959;4864;5304;4621;8260;7371;7431;5670;4251;707
client_42798;0;0;0;0;0;0;0;0;0;0;0;-352;-55;0;0;-211
client_20870;0;0;0;0;0;0;0;0;0;0;0;0;-248;1268;2381;2169
client_2573;0;0;0;0;0;-352;0;0;0;0;0;0;0;0;0;0
client_20871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
client_28782;0;0;0;0;0;0;-774;-422;-422;-422;-422;-422;-422;-422;-422;-422
client_33696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
client_13997;0;0;0;0;0;0;0;0;0;0;0;-352;0;0;0;0
client_13519;0;0;0;0;0;0;0;0;0;0;0;0;-447;-8;-419;-419
client_24746;0;0;0;0;0;0;0;0;0;0;0;0;0;-352;0;0
client_1154;0;0;0;0;0;0;0;0;0;0;0;0;0;-352;0;0
client_40838;0;0;0;0;0;0;0;0;0;0;0;-703;0;0;0;0
client_29274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
client_19373;0;0;0;0;0;0;0;0;0;0;0;0;-528;-3042;-1364;197
client_35143;0;0;0;0;0;0;0;0;0;0;0;0;0;-352;0;0
client_23279;0;0;0;-352;0;0;-423;-422;-422;-422;-422;-422;-422;-422;-422;-422
client_29785;0;0;0;-352;-352;0;0;0;-223;294;361;387;472;410;533;625
client_40367;0;0;0;0;0;0;0;0;0;0;0;0;0;360;3096;1243
client_44628;0;0;0;0;0;0;0;0;-352;0;0;0;0;0;0;0
client_30747;0;0;0;0;0;0;0;0;0;0;0;-352;0;0;0;0
client_38484;-41;-61;-39;-42;-42;-48;0;-412;-105;-64;-141;-56;-18;-1052;-45;27
client_32225;0;0;0;0;0;0;0;0;0;-738;-434;-422;-409;-222;-661;-260
client_40368;0;0;0;0;0;0;-507;11;-138;-50;-6;113;33;92;256;1014
client_8331;0;0;0;0;0;0;0;0;0;0;0;0;-410;-392;-121;-63
client_26761;0;0;0;0;0;0;0;-352;0;0;0;0;0;0;0;0
client_14469;0;0;0;0;0;0;0;0;-352;-419;-413;-412;-415;-417;-417;-417
client_142;0;0;0;0;0;0;-352;-210;-231;1014;1795;26;-174;1711;4315;-397
client_20346;0;0;0;0;0;0;0;0;0;0;0;-237;-423;-423;-423;-423
client_29786;0;0;0;0;0;0;-352;-237;-70;1857;-106;529;2717;144;7;1141
client_9224;0;0;0;0;0;0;0;0;-797;-31;344;269;261;209;392;251
client_143;0;0;0;-352;0;0;0;0;0;-423;0;0;0;0;0;0
client_24241;0;0;0;0;0;0;0;0;-352;0;0;0;0;0;0;0
client_30748;0;0;0;0;-352;0;0;0;0;0;0;0;0;0;0;0
client_45109;0;0;0;0;0;0;0;0;0;0;3847;930;360;-409;-254;0
client_13520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179;364
client_28283;0;0;0;0;0;0;-352;-252;-214;-210;2;-423;-423;617;0;0
client_41820;0;0;0;1239;-57;-47;301;826;181;149;-130;7;79;72;65;136
client_30276;0;0;0;0;0;0;-401;-231;-169;-159;-129;-38;-99;-371;-423;-423
client_7853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
client_20872;0;0;0;0;0;0;0;0;0;0;0;0;-347;335;1199;551
client_46636;0;0;0;0;0;0;0;0;0;0;-422;-422;-422;-422;-422;-422
